"rt","button_pressed","isTarget","time_elapsed","correct","time_onset"
"1628","0","false","43866","true","42238"
"1522","0","false","45899","true","44377"
"1034","0","false","47440","true","46406"
"578","0","false","48527","true","47949"
"700","0","false","49733","true","49033"
"543","0","false","50785","true","50242"
"981","0","false","52273","true","51292"
"1170","0","true","53950","false","52780"
"1240","0","false","55697","true","54457"
"743","0","false","56944","true","56201"
"null","null","true","83156","true","81156"
"768","0","false","84434","true","83666"
"694","0","false","85634","true","84940"
"558","0","false","86699","true","86141"
"655","0","false","87859","true","87204"
"562","0","false","88929","true","88367"
"658","0","false","90094","true","89436"
"570","0","false","91172","true","90602"
"850","0","false","92528","true","91678"
"629","0","false","93665","true","93036"
"null","null","true","96175","true","94175"
"506","0","false","97193","true","96687"
"501","0","false","98199","true","97698"
"513","0","false","99219","true","98706"
"585","0","false","100311","true","99726"
"489","0","false","101305","true","100816"
"535","0","false","102346","true","101811"
"541","0","false","103392","true","102851"
"632","0","false","104531","true","103899"
"574","0","false","105622","true","105048"
"null","null","true","108128","true","106128"
"483","0","false","109125","true","108642"
"448","0","false","110080","true","109632"
"563","0","false","111148","true","110585"
"515","0","false","112168","true","111653"
"485","0","false","113155","true","112670"
"459","0","false","114120","true","113661"
"463","0","false","115091","true","114628"
"563","0","false","116159","true","115596"
"514","0","false","117178","true","116664"
"613","0","false","118295","true","117682"
"484","0","false","119287","true","118803"
"null","null","true","121792","true","119792"
"475","0","false","122779","true","122304"
"459","0","false","123745","true","123286"
"474","0","false","124724","true","124250"
"608","0","false","125837","true","125229"
"626","0","false","126968","true","126342"
"554","0","false","128029","true","127475"
"511","0","false","129047","true","128536"
"725","0","false","130278","true","129553"
"926","0","false","131708","true","130782"
"705","0","false","132919","true","132214"
"618","0","false","134045","true","133427"
"737","0","false","135286","true","134549"
"682","0","false","136472","true","135790"
"null","null","true","138978","true","136978"
"508","0","false","139999","true","139491"
"468","0","false","140975","true","140507"
"454","0","false","141934","true","141480"
"646","0","false","143084","true","142438"
"771","0","false","144359","true","143588"
"711","0","false","145577","true","144866"
"683","0","false","146764","true","146081"
"null","null","true","149271","true","147271"
"519","0","false","150300","true","149781"
"458","0","false","151269","true","150811"
"693","0","false","152468","true","151775"
"530","0","false","153504","true","152974"
"556","0","false","154565","true","154009"
"534","0","false","155605","true","155071"
"787","0","false","156896","true","156109"
"769","0","false","158169","true","157400"
"null","null","true","160676","true","158676"
"428","0","false","161618","true","161190"
"408","0","false","162529","true","162121"
"458","0","false","163492","true","163034"
"421","0","false","164419","true","163998"
"440","0","false","165366","true","164926"
"512","0","false","166385","true","165873"
"485","0","false","167376","true","166891"
"475","0","false","168356","true","167881"
"505","0","false","169367","true","168862"
"478","0","false","170349","true","169871"
"null","null","true","172854","true","170854"
"406","0","false","173769","true","173363"
"430","0","false","174706","true","174276"
"450","0","false","175661","true","175211"
"441","0","false","176607","true","176166"
"427","0","false","177541","true","177114"
"426","0","false","178471","true","178045"
"412","0","false","179388","true","178976"
"460","0","false","180354","true","179894"
"427","0","false","181287","true","180860"
"446","0","false","182238","true","181792"
"439","0","false","183183","true","182744"
"661","0","false","184348","true","183687"
"465","0","false","185321","true","184856"
"399","0","false","186227","true","185828"
"485","0","false","187219","true","186734"
"675","0","false","188401","true","187726"
"665","0","false","189575","true","188910"
"null","null","true","192082","true","190082"
"502","0","false","193092","true","192590"
"368","0","false","193966","true","193598"
"401","0","true","194870","false","194469"
"646","0","false","196022","true","195376"
"497","0","false","197025","true","196528"
"470","0","false","197999","true","197529"
"469","0","false","198973","true","198504"
"1084","0","false","206950","true","205866"
"626","0","false","208083","true","207457"
"null","null","true","210591","true","208591"
"null","null","true","213099","true","211099"
"599","0","false","214208","true","213609"
"532","0","false","215245","true","214713"
"529","0","false","216280","true","215751"
"473","0","false","217257","true","216784"
"456","0","false","218219","true","217763"
"482","0","false","219207","true","218725"
"503","0","false","220216","true","219713"
"511","0","false","221235","true","220724"
"498","0","false","222238","true","221740"
"482","0","false","223226","true","222744"
"545","0","false","224276","true","223731"
"430","0","false","225211","true","224781"
"436","0","false","226153","true","225717"
"435","0","false","227091","true","226656"
"420","0","false","228018","true","227598"
"393","0","false","228919","true","228526"
"448","0","false","229875","true","229427"
"741","0","false","231121","true","230380"
"619","0","false","232248","true","231629"
