"rt","button_pressed","isTarget","time_elapsed","correct","time_onset"
"null","null","false","62370","false","60370"
"620","0","false","63503","true","62883"
"384","0","false","64392","true","64008"
"433","0","false","65332","true","64899"
"416","0","false","66256","true","65840"
"410","0","false","67170","true","66760"
"413","0","false","68088","true","67675"
"411","0","false","69003","true","68592"
"null","null","true","71510","true","69510"
"539","0","false","72557","true","72018"
"834","0","false","97623","true","96789"
"388","0","false","98518","true","98130"
"412","0","false","99437","true","99025"
"376","0","false","100319","true","99943"
"404","0","false","101230","true","100826"
"397","0","false","102134","true","101737"
"351","0","false","102992","true","102641"
"341","0","false","103840","true","103499"
"380","0","false","104727","true","104347"
"null","null","true","107235","true","105235"
"545","0","false","108295","true","107750"
"377","0","false","109177","true","108800"
"364","0","false","110046","true","109682"
"407","0","false","110958","true","110551"
"366","0","false","111829","true","111463"
"366","0","false","112702","true","112336"
"338","0","true","113545","false","113207"
"468","0","false","114521","true","114053"
"413","0","false","115439","true","115026"
"488","0","false","116438","true","115950"
"848","0","false","125040","true","124192"
"352","0","false","125896","true","125544"
"406","0","false","126806","true","126400"
"433","0","false","127744","true","127311"
"403","0","false","128650","true","128247"
"448","0","false","129606","true","129158"
"404","0","false","130515","true","130111"
"390","0","false","131410","true","131020"
"398","0","false","132319","true","131921"
"392","0","false","133219","true","132827"
"414","0","false","134138","true","133724"
"368","0","false","135012","true","134644"
"399","0","false","135920","true","135521"
"392","0","false","136820","true","136428"
"399","0","false","137724","true","137325"
"458","0","false","138687","true","138229"
"null","null","true","141194","true","139194"
"521","0","false","142226","true","141705"
"null","null","true","144732","true","142732"
"619","0","false","145862","true","145243"
"422","0","false","146792","true","146370"
"388","0","false","147686","true","147298"
"358","0","false","148551","true","148193"
"401","0","false","149457","true","149056"
"405","0","false","150369","true","149964"
"426","0","false","151298","true","150872"
"428","0","false","152230","true","151802"
"408","0","false","153145","true","152737"
"366","0","false","154016","true","153650"
"430","0","false","154951","true","154521"
"null","null","true","157457","true","155457"
"432","0","false","158408","true","157976"
"350","0","false","159263","true","158913"
"381","0","false","160150","true","159769"
"371","0","false","161027","true","160656"
"444","0","false","161977","true","161533"
"407","0","false","162891","true","162484"
"null","null","true","165396","true","163396"
"493","0","false","166402","true","165909"
"362","0","false","167269","true","166907"
"361","0","false","168135","true","167774"
"437","0","false","169078","true","168641"
"402","0","false","169987","true","169585"
"553","0","false","171044","true","170491"
"407","0","false","171956","true","171549"
"538","0","false","172999","true","172461"
"398","0","false","173901","true","173503"
"404","0","false","174810","true","174406"
"427","0","false","175744","true","175317"
"535","0","false","176785","true","176250"
"414","0","false","177705","true","177291"
"438","0","false","178649","true","178211"
"null","null","true","181153","true","179153"
"508","0","false","182172","true","181664"
"368","0","false","183045","true","182677"
"null","null","true","185550","true","183550"
"435","0","false","186492","true","186057"
"412","0","false","187411","true","186999"
"396","0","false","188315","true","187919"
"402","0","false","189222","true","188820"
"372","0","false","190099","true","189727"
"370","0","false","190975","true","190605"
"460","0","false","191939","true","191479"
"511","0","false","192956","true","192445"
"461","0","false","193923","true","193462"
"377","0","false","194805","true","194428"
"420","0","false","195729","true","195309"
"348","0","false","196584","true","196236"
"432","0","false","197520","true","197088"
"484","0","false","198508","true","198024"
"366","0","false","199380","true","199014"
"378","0","false","200264","true","199886"
"395","0","false","201165","true","200770"
"359","0","false","202029","true","201670"
"356","0","false","202891","true","202535"
"360","0","false","203757","true","203397"
"364","0","false","204627","true","204263"
"400","0","false","205531","true","205131"
"null","null","true","208037","true","206037"
"null","null","true","210549","true","208549"
"547","0","false","211611","true","211064"
"334","0","false","212455","true","212121"
"373","0","false","213331","true","212958"
"411","0","false","214246","true","213835"
"386","0","false","215136","true","214750"
"447","0","false","216087","true","215640"
"null","null","true","218594","true","216594"
"585","0","false","219690","true","219105"
"366","0","false","220562","true","220196"
"431","0","false","221499","true","221068"
"395","0","false","222401","true","222006"
"398","0","false","223304","true","222906"
"398","0","false","224208","true","223810"
"404","0","false","225118","true","224714"
"394","0","false","226017","true","225623"
"432","0","false","226955","true","226523"
"404","0","false","227865","true","227461"
"366","0","false","228739","true","228373"
"354","0","false","229598","true","229244"
"null","null","true","232106","true","230106"
"497","0","false","233115","true","232618"
"337","0","false","233957","true","233620"
"364","0","false","234826","true","234462"
"374","0","false","235704","true","235330"
"407","0","false","236617","true","236210"
"405","0","false","237526","true","237121"
"323","0","false","238356","true","238033"
"null","null","true","240861","true","238861"
"469","0","false","241846","true","241377"
"370","0","false","242721","true","242351"
"null","null","true","245232","true","243232"
"488","0","false","246233","true","245745"
"354","0","false","247094","true","246740"
"344","0","false","247946","true","247602"
"390","0","false","248844","true","248454"
"398","0","false","249752","true","249354"
"374","0","false","250633","true","250259"
"416","0","false","251555","true","251139"
"389","0","false","252449","true","252060"
"445","0","false","253399","true","252954"
"402","0","false","254308","true","253906"
"379","0","false","255192","true","254813"
"474","0","false","256171","true","255697"
"433","0","false","257109","true","256676"
"403","0","false","258017","true","257614"
"465","0","false","258987","true","258522"
"371","0","false","259864","true","259493"
"409","0","false","260779","true","260370"
"413","0","false","261696","true","261283"
"352","0","false","262555","true","262203"
"343","0","false","263405","true","263062"
"401","0","false","264316","true","263915"
"null","null","true","266821","true","264821"
"null","null","true","269334","true","267334"
"542","0","false","270392","true","269850"
"364","0","false","271270","true","270906"
"392","0","false","272171","true","271779"
"376","0","false","273054","true","272678"
"400","0","false","273959","true","273559"
"381","0","false","274846","true","274465"
"368","0","false","275718","true","275350"
"309","0","true","276532","false","276223"
"405","0","false","277440","true","277035"
"375","0","false","278318","true","277943"
"386","0","false","279209","true","278823"
"399","0","false","280113","true","279714"
"406","0","false","281025","true","280619"
"433","0","false","281964","true","281531"
"373","0","false","282841","true","282468"
"355","0","false","283702","true","283347"
"464","0","false","284672","true","284208"
"346","0","false","285524","true","285178"
"388","0","false","286419","true","286031"
"384","0","false","287308","true","286924"
"400","0","false","288214","true","287814"
"393","0","false","289113","true","288720"
"405","0","false","290022","true","289617"
"null","null","true","292530","true","290530"
"562","0","false","293604","true","293042"
"224","0","false","294336","true","294112"
"869","0","false","303509","true","302640"
"null","null","true","306022","true","304022"
"519","0","false","307052","true","306533"
"393","0","false","307953","true","307560"
"474","0","false","308933","true","308459"
"394","0","false","309832","true","309438"
"420","0","false","310762","true","310342"
"384","0","false","311649","true","311265"
"424","0","false","312579","true","312155"
"391","0","false","313476","true","313085"
"383","0","false","314364","true","313981"
"376","0","false","315245","true","314869"
"370","0","false","316118","true","315748"
"366","0","false","316989","true","316623"
"388","0","false","317884","true","317496"
"319","0","false","318710","true","318391"
"330","0","false","319546","true","319216"
"null","null","true","322053","true","320053"
"427","0","false","322996","true","322569"
"318","0","false","323820","true","323502"
"284","0","false","324607","true","324323"
"404","0","false","325516","true","325112"
"388","0","false","326410","true","326022"
"371","0","false","327288","true","326917"
"372","0","false","328167","true","327795"
"388","0","false","329062","true","328674"
"422","0","false","329992","true","329570"
"391","0","false","330891","true","330500"
"421","0","false","331817","true","331396"
"414","0","false","332737","true","332323"
"496","0","false","333739","true","333243"
"null","null","true","336250","true","334250"
"578","0","true","337346","false","336768"
"821","0","false","338673","true","337852"
"470","0","false","339653","true","339183"
"381","0","false","340542","true","340161"
"416","0","false","341466","true","341050"
"385","0","false","342357","true","341972"
"418","0","false","343282","true","342864"
"365","0","false","344154","true","343789"
"729","0","false","353767","true","353038"
"null","null","true","356274","true","354274"
"527","0","false","357317","true","356790"
"446","0","false","358270","true","357824"
"468","0","false","359246","true","358778"
"456","0","false","360212","true","359756"
"480","0","false","361200","true","360720"
"479","0","false","362186","true","361707"
"null","null","true","364696","true","362696"
"556","0","false","365763","true","365207"
"442","0","false","366709","true","366267"
"464","0","false","367679","true","367215"
"557","0","false","368741","true","368184"
"585","0","false","369830","true","369245"
"472","0","false","370806","true","370334"
"455","0","false","371766","true","371311"
"497","0","false","372767","true","372270"
"478","0","false","373750","true","373272"
"455","0","false","374712","true","374257"
"488","0","false","375706","true","375218"
"461","0","false","376674","true","376213"
"481","0","false","377660","true","377179"
"null","null","true","380166","true","378166"
"482","0","false","381159","true","380677"
"null","null","true","383667","true","381667"
"545","0","false","384729","true","384184"
"439","0","false","385676","true","385237"
"395","0","false","386576","true","386181"
"385","0","false","387466","true","387081"
"423","0","false","388398","true","387975"
"436","0","false","389340","true","388904"
"421","0","false","390268","true","389847"
"445","0","false","391218","true","390773"
"455","0","false","392180","true","391725"
"535","0","false","393222","true","392687"
"408","0","false","394135","true","393727"
"430","0","false","395072","true","394642"
"429","0","false","396006","true","395577"
"524","0","false","397034","true","396510"
"476","0","false","398015","true","397539"
"653","0","false","399173","true","398520"
"455","0","false","400136","true","399681"
"439","0","false","401085","true","400646"
"433","0","false","402025","true","401592"
"399","0","false","402928","true","402529"
"null","null","true","405433","true","403433"
"439","0","false","406384","true","405945"
"434","0","false","407326","true","406892"
"432","0","false","408266","true","407834"
"448","0","false","409221","true","408773"
"434","0","false","410160","true","409726"
"433","0","false","411098","true","410665"
"376","0","false","411980","true","411604"
"null","null","true","414490","true","412490"
"425","0","false","415432","true","415007"
"377","0","false","416316","true","415939"
"406","0","false","417227","true","416821"
"373","0","false","418106","true","417733"
"371","0","false","418985","true","418614"
"414","0","false","419902","true","419488"
"451","0","false","420858","true","420407"
"413","0","false","421778","true","421365"
"443","0","false","422727","true","422284"
"386","0","false","423618","true","423232"
"394","0","false","424516","true","424122"
"null","null","true","427023","true","425023"
"529","0","false","428063","true","427534"
"396","0","false","428966","true","428570"
"415","0","false","429887","true","429472"
"364","0","false","430757","true","430393"
"382","0","false","431647","true","431265"
"387","0","false","432539","true","432152"
"373","0","false","433419","true","433046"
"370","0","false","434294","true","433924"
"471","0","false","435270","true","434799"
"402","0","false","436179","true","435777"
"399","0","false","437084","true","436685"
"null","null","true","439591","true","437591"
"500","0","false","440607","true","440107"
"311","0","false","441426","true","441115"
"493","0","false","443766","true","443273"
"433","0","false","444707","true","444274"
"433","0","false","445647","true","445214"
"null","null","true","448155","true","446155"
"473","0","false","449143","true","448670"
"367","0","false","450018","true","449651"
"372","0","false","450896","true","450524"
"null","null","true","453401","true","451401"
"514","0","false","454427","true","453913"
"397","0","false","455332","true","454935"
"370","0","false","456209","true","455839"
"453","0","false","457167","true","456714"
"572","0","false","458246","true","457674"
"423","0","false","459176","true","458753"
"435","0","false","460120","true","459685"
"431","0","false","461057","true","460626"
"412","0","false","461972","true","461560"
"408","0","false","462886","true","462478"
"322","0","false","463712","true","463390"
"414","0","false","464630","true","464216"
"425","0","false","465561","true","465136"
"392","0","false","466459","true","466067"
"415","0","false","467378","true","466963"
"420","0","false","468304","true","467884"
"null","null","true","470810","true","468810"
"450","0","false","471771","true","471321"
"395","0","false","472671","true","472276"
"415","0","false","473594","true","473179"
"471","0","false","474571","true","474100"
"344","0","true","475420","false","475076"
"437","0","false","476360","true","475923"
"406","0","false","477271","true","476865"
"374","0","false","478150","true","477776"
"522","0","false","479176","true","478654"
"411","0","false","480094","true","479683"
"649","0","false","481249","true","480600"
"458","0","false","482212","true","481754"
"604","0","false","483321","true","482717"
"395","0","false","484223","true","483828"
"460","0","false","485188","true","484728"
"915","0","false","490673","true","489758"
"444","0","false","491628","true","491184"
"399","0","false","492535","true","492136"
"374","0","false","493416","true","493042"
