"rt","responses","time_elapsed"
"4700","1 專注在這個作業上","315387"
"6345","5","321739"
"2822","1 專注在這個作業上","378925"
"3788","6","382718"
"2336","1 專注在這個作業上","439748"
"2588","6","442342"
"4100","1 專注在這個作業上","474965"
"3147","6","478118"
"5680","2 被別的刺激分心","514464"
"2344","5","516812"
"4618","1 專注在這個作業上","555792"
"2289","6","558089"
"5981","1 專注在這個作業上","596159"
"2183","6","598346"
"2792","1 專注在這個作業上","630654"
"2307","6","632967"
"5315","3 在思考與作業無關的事情","676000"
"2961","5","678968"
"2389","1 專注在這個作業上","720306"
"2192","6","722502"
"2658","1 專注在這個作業上","761643"
"2146","6","763794"
"35834","2 被別的刺激分心","842725"
"3674","5","846408"
"27681","2 被別的刺激分心","910888"
"8938","5","919835"
"5499","2 被別的刺激分心","954930"
"4361","5","959296"
"5263","2 被別的刺激分心","992548"
"1889","5","994441"
"2654","1 專注在這個作業上","1032582"
"1822","6","1034410"
"8782","3 在思考與作業無關的事情","1098498"
"2362","5","1100868"
"2693","1 專注在這個作業上","1132486"
"2148","6","1134640"
"3324","1 專注在這個作業上","1167426"
"2492","6","1169921"
