"rt","responses","time_elapsed"
"8928","1 專注在這個作業上","141196"
"4611","4","145825"
"3705","1 專注在這個作業上","181615"
"2453","5","184074"
"3568","1 專注在這個作業上","215319"
"2507","4","217832"
"3462","1 專注在這個作業上","254371"
"2588","5","256967"
"2546","1 專注在這個作業上","290186"
"2868","6","293059"
"10938","1 專注在這個作業上","334761"
"2996","4","337765"
"2501","1 專注在這個作業上","373177"
"2806","6","375989"
"2527","1 專注在這個作業上","407863"
"2136","6","410003"
"2517","1 專注在這個作業上","440342"
"2924","6","443272"
"2399","1 專注在這個作業上","475081"
"2217","6","477305"
"2461","1 專注在這個作業上","507611"
"2024","6","509639"
"2996","1 專注在這個作業上","544007"
"2256","6","546269"
"2766","1 專注在這個作業上","578670"
"1751","6","580431"
"2436","1 專注在這個作業上","609847"
"1636","6","611488"
"2987","1 專注在這個作業上","642409"
"1616","6","644033"
"2868","1 專注在這個作業上","678460"
"1795","6","680260"
"7446","2 被別的刺激分心","712074"
"44518","4","756597"
"2787","2 被別的刺激分心","837502"
"2360","4","839870"
"3525","1 專注在這個作業上","871493"
"2240","6","873738"
"2187","1 專注在這個作業上","908094"
"2039","6","910140"
"2783","1 專注在這個作業上","945989"
"1926","6","947921"
"2485","1 專注在這個作業上","979355"
"1871","6","981229"
"2377","1 專注在這個作業上","1014844"
"1698","6","1016549"
"4630","2 被別的刺激分心","1050828"
"1823","4","1052658"
"2367","1 專注在這個作業上","1081643"
"2354","5","1084004"
"2403","1 專注在這個作業上","1168848"
"2152","5","1171008"
