"rt","responses","time_elapsed"
"2709","{""Q0"":""1 專注在這個作業上""}","65059"
"2804","{""Q0"":5}","67869"
"7294","{""Q0"":0}","77344"
"2183","{""Q0"":""1 專注在這個作業上""}","102694"
"1907","{""Q0"":5}","104605"
"2209","{""Q0"":""1 專注在這個作業上""}","152899"
"1488","{""Q0"":5}","154393"
"2229","{""Q0"":""1 專注在這個作業上""}","198665"
"2855","{""Q0"":5}","201530"
"1934","{""Q0"":""1 專注在這個作業上""}","247009"
"1352","{""Q0"":5}","248369"
"2834","{""Q0"":""1 專注在這個作業上""}","294573"
"1515","{""Q0"":5}","296097"
"2124","{""Q0"":""1 專注在這個作業上""}","329685"
"2193","{""Q0"":5}","331885"
"2405","{""Q0"":""1 專注在這個作業上""}","378605"
"3526","{""Q0"":6}","382138"
"2967","{""Q0"":""1 專注在這個作業上""}","509612"
"2050","{""Q0"":6}","511669"
"1630","{""Q0"":""1 專注在這個作業上""}","582042"
"1820","{""Q0"":4}","583869"
"1613","{""Q0"":""1 專注在這個作業上""}","629582"
"1538","{""Q0"":5}","631130"
"2027","{""Q0"":""1 專注在這個作業上""}","697269"
"3072","{""Q0"":5}","700353"
"5203","{""Q0"":""1 專注在這個作業上""}","731619"
"1630","{""Q0"":5}","733259"
"1730","{""Q0"":""1 專注在這個作業上""}","757180"
"1403","{""Q0"":5}","758588"
"3684","{""Q0"":0}","832255"
