"rt","responses","time_elapsed"
"7097","1 專注在這個作業上","187989"
"6384","3","194383"
"4689","1 專注在這個作業上","287371"
"4117","2","291493"
"4252","1 專注在這個作業上","339239"
"6118","1","345362"
"3164","1 專注在這個作業上","368770"
"5530","3","374305"
"1928","1 專注在這個作業上","419866"
"1736","3","421608"
"2021","1 專注在這個作業上","515501"
"2677","3","518184"
"2282","1 專注在這個作業上","584376"
"1808","3","586193"
"3039","1 專注在這個作業上","609502"
"4290","3","613797"
"1877","1 專注在這個作業上","635277"
"2103","3","637383"
"1586","1 專注在這個作業上","658955"
"1079","3","660046"
"1932","1 專注在這個作業上","727503"
"2252","3","729758"
"1527","1 專注在這個作業上","751287"
"1397","3","752691"
"1732","1 專注在這個作業上","774555"
"3908","3","778469"
"1622","1 專注在這個作業上","797639"
"2170","3","799813"
