"Start_vid" ,"1550740557819"
"Psych_offset" ,"1550740557819" , "43042"
"rt","responses","time_elapsed"
"8057","{""Q0"":3}","51116"
"5747","{""Q0"":""1 專注在這個作業上""}","337497"
"2775","{""Q0"":6}","340283"
"5657","{""Q0"":""1 專注在這個作業上""}","414306"
"7368","{""Q0"":2}","421681"
"6344","{""Q0"":""1 專注在這個作業上""}","549524"
"6825","{""Q0"":4}","556359"
"3199","{""Q0"":""3 在思考與作業無關的事情""}","588761"
"3386","{""Q0"":0}","592154"
"3763","{""Q0"":""1 專注在這個作業上""}","762420"
"2304","{""Q0"":3}","764730"
"8913","{""Q0"":""3 在思考與作業無關的事情""}","797870"
"3327","{""Q0"":2}","801203"
"3955","{""Q0"":""3 在思考與作業無關的事情""}","842205"
"3301","{""Q0"":3}","845511"
"2009","{""Q0"":3}","847525"
