subj,block,target,correct,RT,anticipation,eoc
O02,1,0,1,1618,0,eoc0
O02,1,0,1,787,0,eoc0
O02,1,0,1,626,0,eoc0
O02,1,0,1,737,0,eoc0
O02,1,1,1,null,0,eoc0
O02,1,0,1,676,0,eoc0
O02,1,0,1,678,0,eoc0
O02,1,0,1,659,0,eoc0
O02,1,0,1,724,0,eoc0
O02,1,1,1,null,0,eoc0
O02,1,0,1,789,0,eoc0
O02,1,0,1,733,0,eoc0
O02,1,0,1,682,0,eoc0
O02,1,0,1,707,0,eoc0
O02,1,0,1,676,0,eoc0
O02,1,0,1,673,0,eoc0
O02,1,0,1,655,0,eoc0
O02,1,0,1,611,0,eoc0
O02,1,0,1,570,0,eoc0
O02,1,0,1,702,0,eoc0
O02,2,0,1,598,0,eoc0
O02,2,0,1,500,0,eoc0
O02,2,0,1,520,0,eoc0
O02,2,0,1,542,0,eoc0
O02,2,1,1,null,0,eoc0
O02,2,0,1,640,0,eoc0
O02,2,0,1,626,0,eoc0
O02,2,0,1,635,0,eoc0
O02,2,0,1,533,0,eoc0
O02,2,0,1,691,0,eoc0
O02,2,0,1,654,0,eoc0
O02,2,0,1,660,0,eoc0
O02,2,0,1,620,0,eoc0
O02,2,0,1,654,0,eoc0
O02,2,0,1,563,0,eoc0
O02,2,0,1,618,0,eoc0
O02,2,0,1,637,0,eoc0
O02,2,0,1,749,0,eoc0
O02,2,0,1,623,0,eoc0
O02,2,1,1,null,0,eoc0
O02,3,0,1,688,0,eoc0
O02,3,0,1,554,0,eoc0
O02,3,0,1,560,0,eoc0
O02,3,1,1,null,0,eoc0
O02,3,0,1,605,0,eoc0
O02,3,0,1,578,0,eoc0
O02,3,0,1,585,0,eoc0
O02,3,1,1,null,0,eoc0
O02,3,0,1,702,0,eoc0
O02,3,0,1,573,0,eoc0
O02,3,0,1,642,0,eoc0
O02,3,0,1,605,0,eoc0
O02,3,0,1,632,0,eoc0
O02,3,0,1,565,0,eoc0
O02,3,0,1,744,0,eoc0
O02,3,0,1,655,0,eoc0
O02,3,0,1,642,0,eoc0
O02,3,0,1,613,0,eoc0
O02,3,0,1,700,0,eoc0
O02,3,0,1,579,0,eoc0
O02,4,0,1,693,0,eoc0
O02,4,0,1,801,0,eoc0
O02,4,0,1,592,0,eoc0
O02,4,0,1,642,0,eoc0
O02,4,0,1,624,0,eoc0
O02,4,0,1,638,0,eoc0
O02,4,0,1,730,0,eoc0
O02,4,0,1,994,0,eoc0
O02,4,0,1,634,0,eoc0
O02,4,1,1,null,0,eoc0
O02,4,0,1,814,0,eoc0
O02,4,0,1,620,0,eoc0
O02,4,1,1,null,0,eoc0
O02,4,0,1,714,0,eoc0
O02,4,0,1,576,0,eoc0
O02,4,0,1,645,0,eoc0
O02,4,0,1,667,0,eoc0
O02,4,0,1,732,0,eoc0
O02,4,0,1,676,0,eoc0
O02,4,0,1,685,0,eoc0
O02,5,0,1,624,0,eoc0
O02,5,0,1,638,0,eoc0
O02,5,0,1,643,0,eoc0
O02,5,0,1,764,0,eoc0
O02,5,0,1,664,0,eoc0
O02,5,0,1,620,0,eoc0
O02,5,0,1,727,0,eoc0
O02,5,0,1,680,0,eoc0
O02,5,1,1,null,0,eoc0
O02,5,0,1,749,0,eoc0
O02,5,0,1,647,0,eoc0
O02,5,0,1,869,0,eoc0
O02,5,0,1,671,0,eoc0
O02,5,1,1,null,0,eoc0
O02,5,0,1,759,0,eoc0
O02,5,0,1,564,0,eoc0
O02,5,0,1,646,0,eoc0
O02,5,0,1,599,0,eoc0
O02,5,0,1,594,0,eoc0
O02,5,0,1,608,0,eoc0
O02,6,0,1,687,0,eoc0
O02,6,1,1,null,0,eoc0
O02,6,0,1,673,0,eoc0
O02,6,0,1,630,0,eoc0
O02,6,1,1,null,0,eoc0
O02,6,0,1,673,0,eoc0
O02,6,0,1,675,0,eoc0
O02,6,0,1,619,0,eoc0
O02,6,0,1,680,0,eoc0
O02,6,0,1,605,0,eoc0
O02,6,0,1,716,0,eoc0
O02,6,0,1,621,0,eoc0
O02,6,0,1,817,0,eoc0
O02,6,0,1,592,0,eoc0
O02,6,0,1,624,0,eoc0
O02,6,0,1,617,0,eoc0
O02,6,0,1,593,0,eoc0
O02,6,0,1,643,0,eoc0
O02,6,0,1,665,0,eoc0
O02,6,0,1,672,0,eoc0
O02,7,0,1,733,0,eoc0
O02,7,0,1,576,0,eoc0
O02,7,0,1,562,0,eoc0
O02,7,0,1,676,0,eoc0
O02,7,0,1,591,0,eoc0
O02,7,0,1,666,0,eoc0
O02,7,0,1,610,0,eoc0
O02,7,0,1,557,0,eoc0
O02,7,0,1,557,0,eoc0
O02,7,0,1,643,0,eoc0
O02,7,0,1,649,0,eoc0
O02,7,0,1,647,0,eoc0
O02,7,0,1,605,0,eoc0
O02,7,0,1,626,0,eoc0
O02,7,0,1,624,0,eoc0
O02,7,1,1,null,0,eoc0
O02,7,1,1,null,0,eoc0
O02,7,0,1,737,0,eoc0
O02,7,0,1,599,0,eoc0
O02,7,0,1,684,0,eoc0
O02,8,0,1,652,0,eoc1
O02,8,0,1,708,0,eoc1
O02,8,0,1,627,0,eoc1
O02,8,0,1,695,0,eoc1
O02,8,0,1,1607,0,eoc1
O02,8,0,1,757,0,eoc1
O02,8,0,1,674,0,eoc1
O02,8,0,1,657,0,eoc1
O02,8,0,1,569,0,eoc1
O02,8,0,1,644,0,eoc1
O02,8,0,1,654,0,eoc1
O02,8,0,1,699,0,eoc1
O02,8,0,1,691,0,eoc1
