subj,block,target,correct,RT,anticipation,eoc
Y01,1,0,1,1103,0,eoc0
Y01,1,1,1,null,0,eoc0
Y01,1,1,1,null,0,eoc0
Y01,1,0,1,683,0,eoc0
Y01,1,0,1,607,0,eoc0
Y01,1,0,1,791,0,eoc0
Y01,1,0,1,597,0,eoc0
Y01,1,0,1,662,0,eoc0
Y01,1,0,1,653,0,eoc0
Y01,1,0,1,819,0,eoc0
Y01,1,0,1,674,0,eoc0
Y01,1,0,1,792,0,eoc0
Y01,1,0,1,572,0,eoc0
Y01,1,0,1,649,0,eoc0
Y01,1,0,1,663,0,eoc0
Y01,1,0,1,630,0,eoc0
Y01,1,0,1,640,0,eoc0
Y01,1,0,1,835,0,eoc0
Y01,1,0,1,1102,0,eoc0
Y01,1,0,1,680,0,eoc0
Y01,2,0,1,619,0,eoc0
Y01,2,1,1,null,0,eoc0
Y01,2,0,1,559,0,eoc0
Y01,2,0,1,458,0,eoc0
Y01,2,0,1,474,0,eoc0
Y01,2,0,1,963,0,eoc0
Y01,2,0,1,680,0,eoc0
Y01,2,0,1,598,0,eoc0
Y01,2,0,1,610,0,eoc0
Y01,2,0,1,1038,0,eoc0
Y01,2,0,1,513,0,eoc0
Y01,2,0,1,507,0,eoc0
Y01,2,0,1,652,0,eoc0
Y01,2,0,1,529,0,eoc0
Y01,2,1,1,null,0,eoc0
Y01,2,0,1,538,0,eoc0
Y01,2,0,1,457,0,eoc0
Y01,2,0,1,408,0,eoc0
Y01,2,0,1,589,0,eoc0
Y01,2,0,1,388,0,eoc0
Y01,3,0,1,359,0,eoc0
Y01,3,0,1,599,0,eoc0
Y01,3,0,1,514,0,eoc0
Y01,3,0,1,393,0,eoc0
Y01,3,1,1,null,0,eoc0
Y01,3,0,1,895,0,eoc0
Y01,3,0,1,552,0,eoc0
Y01,3,0,1,510,0,eoc0
Y01,3,0,1,517,0,eoc0
Y01,3,0,1,555,0,eoc0
Y01,3,0,1,496,0,eoc0
Y01,3,0,1,972,0,eoc0
Y01,3,0,1,659,0,eoc0
Y01,3,0,1,869,0,eoc0
Y01,3,1,1,null,0,eoc0
Y01,3,0,1,480,0,eoc0
